,P7,P28,P70
845,29.855,46.348,74.477
846,38.166,2.238,35.608
847,49.481,33.946,34.138
848,25.572,38.613,20.905
849,34.074,30.878,63.034
850,32.987,2.365,48.266
851,43.28,42.641,62.139
852,49.928,61.244,34.266
853,36.695,22.759,46.732
854,3.388,52.422,45.837
855,17.453,42.577,33.371
856,19.946,2.941,38.741
857,32.923,62.139,4.219
858,21.224,4.219,67.509
859,39.636,26.403,18.667
860,23.398,45.262,16.43
861,28.257,46.285,76.587
862,39.7,57.536,30.174
863,15.215,51.143,24.485
864,28.512,81.445,43.472
865,47.499,20.777,57.472
866,42.577,58.303,33.179
867,82.596,53.189,61.5
868,30.494,42.321,51.91
869,28.32,61.18,74.861
870,22.311,1.598,2.813
871,33.115,12.53,4.347
872,27.809,7.416,9.589
873,28.065,55.298,51.846
874,23.206,28.129,19.754
875,35.864,27.745,31.837
876,30.494,64.057,52.741
877,36.376,47.116,40.978
878,13.681,73.326,29.535
879,18.348,39.892,19.882
880,43.727,42.577,55.107
881,18.284,50.248,57.216
882,7.096,41.937,48.906
883,20.841,4.155,21.352
884,34.841,32.412,59.965
885,41.298,40.914,39.636
886,6.776,67.765,17.389
887,6.393,20.393,28.448
888,32.156,50.376,65.271
889,45.645,48.394,29.024
890,16.877,55.81,39.252
891,41.17,47.052,77.29
892,37.398,42.704,42.129
893,26.53,27.553,18.028
894,7.352,37.718,47.947
895,23.654,57.792,37.398
896,33.115,24.996,6.776
897,7.224,40.723,25.891
898,28.576,45.709,19.434
899,40.595,47.691,38.102
900,3.964,35.417,41.106
901,23.782,63.481,53.636
902,52.613,3.388,17.836
903,105.291,34.649,29.407
904,13.041,47.371,65.591
905,36.823,39.636,33.371
906,14.128,8.119,22.375
907,41.234,41.809,19.818
908,44.686,43.344,36.056
909,23.334,39.188,45.709
910,28.193,69.682,6.393
911,20.905,42.193,47.883
912,32.028,39.188,47.947
913,50.184,61.244,16.366
914,42.96,48.011,52.997
915,34.905,4.028,16.813
916,5.37,35.928,43.919
917,36.184,25.124,28.512
918,10.101,38.613,10.356
919,34.266,35.736,35.289
920,34.074,22.311,57.152
921,4.859,31.517,2.046
922,17.9,32.348,41.234
923,47.947,4.028,7.991
924,23.526,38.933,58.687
925,35.353,18.028,37.59
926,49.609,49.225,53.7
927,31.006,77.034,4.219
928,27.298,74.989,12.402
929,22.055,4.155,62.075
930,16.366,33.371,53.381
931,29.791,40.978,19.562
932,32.476,40.083,52.166
933,33.882,42.896,30.047
934,58.751,14.448,21.097
935,1.406,48.011,51.591
936,8.503,24.613,39.188
937,29.088,2.174,29.216
938,17.261,66.678,42.129
939,44.239,79.016,37.207
940,17.517,10.42,21.352
941,16.494,38.677,20.202
942,59.454,46.54,43.28
943,23.078,41.49,2.11
944,27.17,46.029,33.435
945,28.257,4.155,45.07
946,39.444,66.486,13.105
947,23.142,34.458,12.146
948,14.895,46.668,48.97
949,5.562,2.557,38.805
950,29.471,40.787,50.504
951,21.928,54.084,33.051
952,33.946,22.695,36.759
953,41.873,49.481,44.431
954,19.115,35.608,8.886
955,29.216,34.905,78.696
956,26.978,13.745,27.937
957,46.796,35.289,22.567
958,37.846,62.586,58.942
959,1.854,50.44,37.334
960,37.079,44.047,10.293
961,21.224,53.381,28.768
962,34.01,38.741,39.124
963,41.682,1.726,15.599
964,33.563,37.654,46.668
965,5.626,3.005,45.134
966,13.105,51.015,54.659
967,28.512,66.294,22.695
968,0.767,2.621,59.454
969,40.211,40.787,48.33
970,32.923,38.421,28.065
971,34.202,40.914,57.92
972,39.444,21.48,31.581
973,40.531,62.203,40.978
974,16.622,23.462,48.33
975,24.229,71.984,33.307
976,26.403,32.732,0.767
977,28.257,29.024,42.832
978,23.973,37.59,33.691
979,20.393,34.777,42.193
980,26.722,46.924,55.235
981,39.572,13.553,10.676
982,26.083,48.906,65.08
983,21.288,51.846,72.495
984,27.17,3.133,40.978
985,22.247,46.988,20.074
986,22.247,36.439,32.348
987,6.904,27.489,38.038
988,67.573,27.17,3.708
989,25.827,2.493,2.685
990,31.837,31.325,35.608
991,30.302,2.238,27.937
992,28.065,13.425,1.023
993,12.978,32.156,37.462
994,74.797,58.495,36.823
